Day,StartTime,EndTime,CourseID,CourseName,Type,InstructorID,Instructor,Room,Sections,StudentCount
Thursday,9:00 AM,10:30 AM,AID312,Intelligent Systems,Lecture,P07,Dr. Ahmed Bayumi,Hall - Green,"CSIT-3-BIF-s1, CSIT-3-CNC-s1, CSIT-3-CNC-s2",65
Thursday,9:00 AM,10:30 AM,BIF412,Management and Design of Health Care Systems,Lecture,P39,Dr. Sameh Sherif,B18 G.20,CSIT-4-BIF-s1,15
Thursday,9:00 AM,10:30 AM,CSC211,Software Engineering,Lab,A36,Eng. Adam Mohamed,B07 F1.21,CSIT-2-s7,25
Thursday,9:00 AM,10:30 AM,AID312,Intelligent Systems,Lab,A21,Eng. Salma Waleed,B18 F1.01,CSIT-3-AID-s3,25
Thursday,9:00 AM,10:30 AM,CSC111,Fundamentals of Programming,Lab,A10,Eng. Mariam Ismael,B18 G.21,CSIT-1-s5,25
Thursday,9:00 AM,10:30 AM,AID427,New Trends in Data Science,Lab,A06,Eng. Fatima Ali,B18 F1.20,CSIT-4-AID-s1,25
Thursday,9:00 AM,10:30 AM,CNC312,Foundations of Information Systems,Lab,A03,Eng. Alaa Essam,B26 G.13,CSIT-3-CNC-s3,25
Thursday,9:00 AM,10:30 AM,CNC314,Database Systems,Lab,A16,Eng. Nourhan Waleed,B26 G.21,CSIT-3-AID-s2,25
Thursday,9:00 AM,10:30 AM,CNC111,Networks and Web Programming,Lab,A45,Eng. Yousef Said,B07 F1.01,CSIT-2-s4,25
Thursday,9:00 AM,10:30 AM,CNC111,Networks and Web Programming,Lab,A43,Eng. Ali Sato,B26 F1.03,CSIT-2-s8,25
Thursday,9:00 AM,10:30 AM,LRA401,Japanese Language (1),Lab,A38,Prof. Yumi Sato,B17 F1.17,CSIT-1-s6,25
Thursday,9:00 AM,10:30 AM,CNC419,IT Security and Risk Management,Lab,A41,Eng. Omar Hassan,B26 F1.16,CSIT-4-CNC-s2,25
Thursday,9:00 AM,10:30 AM,MTH212,Probability and Statistics,Lab,A01,BAS Department Staff,B18 F1.02,CSIT-2-s1,25
Thursday,9:00 AM,10:30 AM,CSC410,Software Quality,Lab,A42,Eng. Fatima Ali,B17 G.21,CSIT-4-CSC-s2,15
Thursday,9:00 AM,10:30 AM,ECE111,Digital Logic Design,Lab,A02,ECE Department Staff,B17 G.20,CSIT-1-s3,25
Thursday,9:00 AM,10:30 AM,MTH111,Mathematics (1),Lab,A24,Eng. Yousef Ali,B18 F1.10,CSIT-1-s2,25
Tuesday,10:45 AM,12:15 PM,CSC111,Fundamentals of Programming,Lecture,P35,Dr. Reda Elbasiony ,B17 F1.03,"CSIT-1-s7, CSIT-1-s8, CSIT-1-s9",75
